,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
92,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,22289,2022,Легковые транспортные средства,Новосибирский,установлен,да,Монголия,15548,1.43
93,43.397314,40.002072,Адлер,ЮФО,АПП,105498,2017,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750,1.93
94,54.006458,61.625926,Бугристое,УФО,АПП,233923,2017,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500,2.14
95,56.356309,28.197336,Бурачки,СЗФО,АПП,141165,2017,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500,1.29
96,42.768431,44.631185,Верхний Ларс,СКФО,АПП,168407,2017,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050,2.71
97,62.168784,30.635873,Вяртсиля,СЗФО,АПП,81210,2017,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800,1.85
98,42.056396,48.306587,Дербент,СКФО,ЖДПП,7222,2017,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840,1.24
99,51.647524,34.137715,Крупец,ЦФО,АПП,43764,2017,Грузовые транспортные средства,Брянский,установлен,да,Украина,36500,1.2
100,64.545064,29.994016,Люття,СЗФО,АПП,33718,2017,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900,1.54
101,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,42126,2017,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,36500,1.15
102,54.645721,22.736633,Чернышевское,СЗФО,АПП,133222,2017,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500,1.22
103,43.397314,40.002072,Адлер,ЮФО,АПП,98509,2018,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750,1.8
104,54.006458,61.625926,Бугристое,УФО,АПП,242803,2018,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500,2.22
105,56.356309,28.197336,Бурачки,СЗФО,АПП,147843,2018,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500,1.35
106,42.768431,44.631185,Верхний Ларс,СКФО,АПП,214082,2018,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050,3.45
107,62.168784,30.635873,Вяртсиля,СЗФО,АПП,86500,2018,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800,1.97
